q,faint_med,faint_lo,faint_hi,sky_med,sky_lo,sky_hi,gap_med,gap_lo,gap_hi,n_faint_valid,n_total
1.0,0.07074902298218955,0.04978161079330594,0.08819193344752296,0.11473145577819732,0.10882219032576536,0.11880647853192108,-0.04739489357656862,-0.0655356445750703,-0.026841983608079226,95,100
2.0,0.08606050334935955,0.06206476001778516,0.11283728001004749,0.14332855918964169,0.13838238561616462,0.15063612203341345,-0.06058870630224841,-0.08348542545149054,-0.03220883158216613,95,100
3.0,0.09836416118753988,0.07226955859534617,0.13112351710958647,0.16825183118366444,0.1637904176204883,0.17558342813463257,-0.07016085199098218,-0.09653646712370792,-0.03650091712980645,95,100
4.0,0.106836751678549,0.08044667628681182,0.14851724904922553,0.19113378871821002,0.18266547566703156,0.19379594697258898,-0.07776069053787413,-0.11114431459899357,-0.040690228721936034,95,100
6.0,0.11911560194098392,0.09651727568539079,0.1744651192325481,0.22563507655588383,0.2155535328975311,0.23227960248664478,-0.10085935209610447,-0.13058874707407878,-0.050888999009769426,95,100
8.0,0.1405888167240175,0.10679666887561667,0.2011329419226125,0.2545665251879835,0.24830657132876188,0.26545326861276025,-0.11533454032308843,-0.14958724831493392,-0.05841816821992697,95,100
12.0,0.17874127828130493,0.13752181786593023,0.23589806508022484,0.3074273649637154,0.2998789692947914,0.32036914768599317,-0.13237938206136718,-0.1811545867863967,-0.07056039475492568,95,100
